serial;Group;Mood before;Lot1;Lot2;Lot3;invs_A;invs_B;invs_C;Age;Gender;Marital;Kids_no;Birth_order;residence;Religion;Overdradt;Mood after;music_rec;music_like;music_effect;music_help;earing
223;1;5;70;30;80;300;400;300;24;1;1;0;1;2;3;2;5;1;3;2;3;1
224;1;4;70;60;90;500;500;;24;1;1;0;3;2;3;1;5;2;1;2;3;1
225;1;4;60;40;80;300;500;200;25;1;1;0;2;3;4;3;3;1;1;4;3;1
226;1;6;100;50;50;500;500;;25;1;1;0;1;1;4;2;6;2;2;3;2;1
227;1;7;20;80;80;300;200;500;25;1;1;0;1;2;4;2;7;2;2;4;2;1
228;1;5;35;30;55;300;200;500;25;1;1;0;2;2;4;1;5;2;1;3;2;1
229;1;5;60;40;60;300;500;200;25;1;1;0;2;2;4;4;5;1;2;3;3;1
230;1;6;70;60;70;300;600;100;25;1;1;0;2;4;4;1;6;3;3;1;3;1
231;1;5;80;90;100;500;500;;25;1;1;0;3;4;2;2;4;2;2;3;3;1
232;1;6;80;70;90;300;600;100;25;1;1;0;2;2;4;1;6;1;2;1;3;1
233;1;6;50;80;80;600;300;100;25;1;1;0;2;4;4;2;6;2;3;1;3;1
234;1;4;80;100;100;500;500;;25;1;2;0;2;4;4;1;5;1;1;1;3;1
235;1;6;65;100;80;300;400;300;25;1;1;0;1;4;5;3;6;1;3;3;4;1
236;1;4;70;60;80;300;500;200;26;1;1;0;1;4;4;3;4;1;1;2;2;1
237;1;4;15;100;100;700;300;;26;1;2;0;3;1;5;1;5;1;1;3;2;1
238;1;5;70;90;90;400;600;;26;1;1;0;1;4;5;3;5;1;1;1;2;1
239;1;6;70;70;80;300;700;;26;1;1;0;4;4;4;1;6;3;1;3;2;1
240;1;5;100;90;50;300;700;;26;1;1;0;3;2;4;2;6;2;2;4;4;1
241;1;4;70;30;80;500;300;200;26;1;2;0;3;1;4;1;4;1;2;3;3;1
242;1;5;100;60;60;400;500;100;26;1;1;0;4;4;4;1;5;1;2;2;3;1
243;1;6;80;90;50;350;400;250;26;1;2;0;2;1;3;2;4;2;2;3;3;1
244;1;6;20;60;70;800;200;;27;1;1;0;2;2;4;2;6;1;1;1;2;1
245;1;4;50;30;10;400;200;400;27;1;1;0;4;4;5;2;5;1;1;5;2;1
246;1;6;75;97;95;300;550;150;27;1;2;1;3;1;4;1;6;2;2;3;3;1
247;1;7;35;60;40;1000;;;27;1;2;0;2;1;4;2;7;1;1;1;3;1
248;1;7;60;70;50;400;600;;27;1;2;2;3;2;3;4;6;2;2;1;3;1
249;1;5;100;60;70;500;300;200;27;1;1;0;2;4;3;4;5;1;1;1;3;1
250;1;3;90;80;10;250;250;500;27,5;1;1;0;1;4;3;2;4;1;2;4;1;1
251;1;7;100;80;80;;800;200;28;1;2;0;4;1;4;2;7;1;1;5;1;1
252;1;7;70;60;60;600;250;150;28;1;1;0;1;2;4;1;7;1;2;2;3;1
253;1;5;90;60;60;250;500;250;28,5;1;1;0;1;2;4;1;5;1;2;5;1;1
254;1;6;30;80;20;250;500;250;29;1;1;0;1;4;2;2;5;2;3;1;5;1
255;1;6;40;50;30;350;450;200;29;1;1;0;1;4;2;2;5;2;3;1;5;1
256;1;5;60;80;100;300;700;;30;1;2;2;2;1;3;1;4;1;1;2;3;1
257;1;6;95;75;40;300;600;100;30;1;2;2;2;1;4;3;6;2;3;1;3;1
258;1;7;80;90;60;;1000;;45;1;1;0;3;4;3;4;7;3;3;1;5;1
259;1;7;70;50;70;;1000;;45;1;1;0;3;4;3;4;7;3;3;1;5;1
260;1;6;100;100;100;200;800;;45;1;1;0;1;1;4;2;6;1;2;2;2;1
261;1;6;60;80;60;200;800;;45;1;1;0;1;1;4;2;6;1;2;2;2;1
262;1;6;100;80;80;200;800;;39;1;2;4;3;1;3;4;4;1;1;2;3;1
263;1;6;80;20;60;250;500;250;28;1;2;2;1;1;4;1;2;2;1;5;1;1
264;1;6;60;50;40;400;400;200;27;1;2;2;1;1;4;1;2;2;1;5;1;1
265;1;6;40;60;20;400;500;100;30;1;2;8;3;4;1;4;6;1;1;4;2;1
266;1;5;50;30;40;600;200;200;29;1;2;8;3;4;1;4;4;1;1;4;2;1
271;2;7;100;100;100;400;600;;24;0;1;0;1;2;4;2;7;;;;;
272;2;7;60;50;60;400;600;;25;0;1;0;2;2;4;1;7;;;;;
273;2;5;100;80;100;500;500;;25;0;1;0;3;2;4;2;4;;;;;
274;2;5;100;60;80;400;600;;25;0;1;;1;2;4;2;5;;;;;
275;2;5;50;20;50;700;300;;25;0;1;;1;2;4;2;5;;;;;
276;2;6;70;90;85;500;150;350;25;0;1;;1;2;4;3;6;;;;;
277;2;6;80;80;60;500;500;;25;0;1;;2;2;4;2;5;;;;;
280;2;6;100;50;100;600;400;;25;0;1;;3;2;4;1;6;;;;;
281;2;6;100;100;100;;1000;;25;0;1;;1;2;4;1;6;;;;;
282;2;4;80;100;80;300;700;;25;0;1;;3;2;3;1;4;;;;;
283;2;7;60;60;90;500;500;;25;0;1;;1;2;4;1;7;;;;;
284;2;5;90;25;50;250;250;500;25;0;1;;1;2;3;1;5;;;;;
285;2;4;100;100;100;250;750;;25;0;1;0;2;2;3;1;4;;;;;1
286;2;6;100;90;100;500;500;;25;0;1;0;3;2;3;1;5;;;;;1
287;2;6;60;30;90;600;370;30;26;0;1;0;1;2;3;2;6;;;;;
288;2;6;80;90;80;500;500;;26;0;2;0;3;4;2;1;6;;;;;
289;2;6;100;100;100;300;600;100;26;0;1;0;3;2;4;3;6;;;;;1
290;2;6;100;100;100;;1000;;26;0;1;0;1;4;4;2;6;;;;;
