serial;Group;Mood before;Lot1;Lot2;Lot3;invs_A;invs_B;invs_C;Age;Gender;Marital;Kids_no;Birth_order;residence;Religion;Overdradt;Mood after;music_rec;music_like;music_effect;music_help;earing
381;2;6;30;70;100;700;300;;25;1;1;;1;2;3;1;5;;;;;
382;2;6;90;100;100;200;800;;25;1;2;;2;4;2;1;6;;;;;
383;2;3;80;100;90;400;500;100;25;1;2;;2;4;4;1;3;;;;;
384;2;7;70;60;50;450;450;100;25;1;1;;3;2;3;3;7;;;;;
385;2;6;100;100;100;;1000;;25;1;2;;1;4;4;2;4;;;;;
386;2;5;70;60;50;400;600;;25;1;1;;1;2;4;1;2;;;;;
387;2;7;40;80;90;500;500;;25;1;1;;3;2;3;2;7;;;;;
388;2;7;50;30;70;400;600;;25;1;2;;3;4;4;3;7;;;;;
389;2;4;30;100;100;250;500;250;26;1;1;0;2;2;4;3;5;;;;;
390;2;6;100;90;80;500;400;100;26;1;1;;3;2;3;1;5;;;;;
391;2;5;50;40;50;800;200;;26;1;1;;2;4;4;1;4;;;;;
392;2;5;60;100;80;600;400;;26;1;2;;2;4;3;1;5;;;;;
393;2;6;70;60;80;400;500;100;26;1;1;;1;4;4;2;6;;;;;
394;2;4;50;30;50;500;500;;26;1;2;;2;2;4;2;3;;;;;
395;2;5;80;70;70;500;500;;26;1;1;;3;1;4;2;5;;;;;
396;2;6;60;70;70;400;600;;26;1;2;;2;2;4;2;5;;;;;
397;2;5;50;50;40;500;300;200;26;1;1;;2;2;4;1;4;;;;;
398;2;5;50;40;90;600;200;200;26;1;1;0;1;4;4;1;5;;;;;1
399;2;7;40;30;30;500;250;250;27;1;1;;1;2;3;2;6;;;;;
400;2;7;90;60;40;600;300;100;27;1;1;;2;2;3;2;7;;;;;
401;2;5;30;80;80;200;800;;27;1;1;;2;4;4;3;5;;;;;
402;2;6;50;80;100;250;500;250;28;1;1;0;2;2;4;1;6;;;;;1
403;2;7;70;50;90;200;100;700;28;1;1;;2;4;4;1;3;;;;;
404;2;6;100;100;100;400;600;;28;1;1;0;2;4;4;3;6;;;;;
405;2;6;60;60;80;500;500;;29;1;1;0;4;2;4;1;6;;;;;
406;2;5;30;10;20;400;100;500;30;1;2;2;3;1;3;1;3;;;;;
407;2;5;60;60;70;200;500;300;31;1;1;;2;4;4;2;5;;;;;
408;2;6;100;100;80;700;300;;36;1;2;2;3;4;3;3;6;;;;;
409;2;7;40;80;30;400;500;100;36;1;2;3;1;1;4;2;7;;;;;
410;2;6;60;30;50;400;300;300;36;1;2;3;2;1;3;2;6;;;;;
